param fixed_demand : A	B	C	D	E	F	G	H	I	J	K :=
1	1846.9	1152.2	2067.2	664.0	1076.0	1609.3	1284.7	400.9	695.9	6073.3	2596.1
2	1794.2	1118.2	2024.2	661.3	1041.8	1562.3	1228.1	394.8	668.0	5905.7	2482.9
3	1765.6	1091.1	1986.2	654.4	1026.7	1540.9	1192.0	390.1	644.2	5744.7	2384.0
4	1763.7	1072.8	1958.1	656.5	1016.1	1529.8	1190.7	377.4	619.6	5625.7	2327.2
5	1745.9	1072.7	1926.6	660.0	1019.6	1528.9	1190.2	379.5	612.7	5572.0	2309.9
6	1759.7	1093.4	1964.1	663.2	1040.2	1533.4	1203.0	384.9	625.1	5595.4	2327.3
7	1808.0	1130.4	2027.7	674.9	1072.6	1575.0	1226.6	397.1	637.0	5721.3	2371.9
8	1858.7	1167.0	2085.4	678.0	1112.2	1613.4	1243.4	407.3	647.8	5811.4	2386.4
9	1879.1	1184.0	2134.0	694.0	1162.0	1674.1	1285.9	421.4	659.7	5969.1	2449.5
10	1924.9	1222.3	2202.7	690.5	1196.9	1731.2	1331.1	424.6	680.8	6148.2	2542.2
11	1955.1	1247.9	2235.7	661.2	1221.9	1765.4	1361.1	437.1	711.8	6300.9	2625.8
12	1961.1	1263.8	2213.0	657.2	1222.8	1775.4	1366.8	435.3	722.4	6455.7	2671.3
13	1968.6	1273.4	2184.9	655.8	1210.2	1777.8	1371.7	431.8	741.5	6526.0	2688.5
14	1975.2	1266.8	2174.9	642.5	1192.2	1767.6	1353.7	430.9	735.1	6556.4	2683.5
15	1970.3	1262.7	2192.3	640.6	1173.2	1753.1	1343.7	435.1	739.8	6578.9	2695.4
16	1984.9	1286.4	2235.0	643.5	1180.6	1758.7	1372.3	429.6	748.8	6628.7	2746.2
17	2055.2	1363.4	2354.4	659.8	1227.8	1859.7	1446.7	463.2	795.3	6806.7	2949.3
18	2202.2	1495.4	2519.4	679.0	1311.5	1980.6	1560.5	512.9	859.1	7081.9	3232.4
19	2206.6	1483.4	2511.3	681.9	1307.6	1969.2	1559.0	522.6	868.8	7081.9	3242.6
20	2193.3	1451.8	2469.6	680.5	1280.9	1945.2	1537.8	517.8	860.1	7024.2	3187.2
21	2150.1	1404.7	2426.3	693.9	1240.5	1885.9	1499.7	498.5	841.1	6905.9	3104.1
22	2067.9	1334.9	2314.2	684.9	1172.8	1798.3	1437.6	466.0	797.7	6725.4	2958.9
23	1956.0	1237.5	2168.4	658.6	1085.6	1686.7	1336.3	429.1	736.9	6433.3	2738.0
24	1841.2	1145.2	2066.1	662.9	1028.2	1593.1	1254.4	392.6	680.0	6089.4	2522.8
25	1783.4	1097.8	1990.3	652.4	986.0	1542.0	1184.8	385.2	643.8	5801.4	2372.2
26	1743.8	1068.7	1950.2	647.4	973.1	1516.8	1163.1	359.4	625.0	5582.1	2278.7
27	1729.5	1058.4	1947.1	646.4	966.6	1505.0	1151.8	353.3	606.2	5465.1	2246.0
28	1728.5	1057.6	1944.0	648.2	973.5	1505.2	1148.7	353.7	597.4	5415.7	2235.6
29	1763.5	1087.8	1981.7	656.9	995.2	1532.9	1162.9	361.4	607.5	5463.9	2267.4
30	1844.5	1163.3	2094.7	672.7	1040.4	1605.2	1226.9	379.0	647.0	5723.2	2386.0
31	1979.0	1281.9	2274.6	700.2	1141.5	1756.0	1326.8	424.5	710.3	6219.0	2642.0
32	2107.7	1367.9	2379.5	717.4	1204.6	1840.2	1393.4	441.9	774.9	6705.3	2797.9
33	2142.9	1381.5	2389.8	713.9	1247.5	1848.5	1401.1	437.2	802.2	7007.5	2826.8
34	2173.9	1404.9	2405.9	708.7	1272.5	1863.4	1400.6	435.7	816.1	7230.3	2821.0
35	2197.5	1414.7	2421.2	706.1	1277.3	1847.7	1395.1	431.0	818.9	7336.9	2813.2
36	2211.1	1414.1	2410.2	702.1	1274.3	1833.3	1394.1	417.8	811.2	7360.1	2782.0
37	2204.1	1407.9	2369.9	699.3	1250.1	1836.9	1379.7	417.4	806.8	7337.6	2738.2
38	2192.2	1391.0	2341.0	695.5	1246.0	1837.5	1377.6	419.1	799.7	7304.4	2714.4
39	2127.6	1367.6	2328.5	691.9	1228.9	1821.0	1372.2	417.3	798.5	7272.7	2715.7
40	2085.4	1368.4	2325.7	690.0	1228.5	1820.5	1377.9	424.0	821.1	7299.6	2779.8
41	2151.6	1417.5	2391.7	687.2	1281.4	1902.6	1445.6	453.1	849.1	7457.2	2984.7
42	2316.3	1544.5	2562.7	680.1	1378.6	2017.0	1557.8	500.2	911.6	7668.9	3281.0
43	2333.3	1544.4	2555.9	709.7	1388.3	2014.5	1577.6	515.3	920.7	7595.6	3315.5
44	2301.3	1505.2	2510.2	701.9	1356.1	1972.2	1563.1	511.2	912.3	7477.2	3257.4
45	2240.3	1454.8	2437.3	686.5	1307.3	1902.9	1524.5	493.3	883.2	7293.0	3165.4
46	2154.1	1374.0	2312.1	667.1	1234.6	1798.4	1450.3	464.7	839.0	7050.3	3000.5
47	2063.6	1284.2	2190.5	642.7	1137.2	1678.0	1349.1	423.8	763.7	6657.3	2760.9
48	1935.2	1192.3	2075.2	627.3	1053.1	1571.9	1257.9	386.0	693.7	6205.4	2521.1
49	1847.3	1134.2	1998.0	614.5	1007.6	1508.6	1194.7	365.6	654.8	5840.9	2354.6
50	1790.4	1112.6	1983.4	607.5	976.1	1476.4	1170.9	352.9	637.6	5585.2	2259.5
51	1759.8	1099.3	1965.6	603.8	975.1	1462.0	1159.6	351.0	624.8	5444.3	2206.0
52	1755.2	1100.9	1954.7	603.1	961.3	1465.2	1162.8	355.9	622.7	5392.0	2198.3
53	1782.5	1125.4	1999.1	608.3	982.1	1493.5	1182.6	359.1	630.7	5434.0	2235.0
54	1855.5	1187.7	2115.6	621.5	1032.7	1563.6	1231.8	393.3	668.3	5685.9	2350.9
55	2002.7	1305.9	2312.5	648.1	1149.0	1722.4	1339.9	431.2	745.2	6191.0	2590.6
56	2109.8	1391.1	2389.2	655.3	1217.8	1797.2	1397.6	453.6	810.7	6691.9	2744.7
57	2106.7	1394.8	2378.8	658.5	1236.6	1796.0	1405.3	448.6	822.3	6967.8	2747.5
58	2110.4	1404.3	2355.9	630.6	1232.4	1795.9	1370.1	442.1	822.6	7136.1	2703.9
59	2112.1	1418.5	2338.8	623.0	1215.6	1757.7	1384.2	419.4	816.9	7196.8	2653.8
60	2088.2	1401.4	2323.9	642.9	1189.2	1733.8	1371.0	407.3	800.8	7187.2	2599.4
61	2047.0	1348.8	2289.2	648.7	1159.0	1709.9	1344.3	406.1	793.0	7180.9	2599.6
62	2064.7	1331.7	2287.7	647.7	1150.3	1697.8	1331.6	397.0	788.2	7139.0	2570.9
63	2052.9	1317.5	2260.7	635.7	1138.5	1689.8	1313.0	402.2	785.0	7093.2	2592.3
64	2042.6	1310.8	2246.7	648.8	1130.7	1705.7	1333.8	403.5	793.4	7129.6	2655.9
65	2082.7	1350.3	2326.3	660.9	1166.5	1805.6	1412.7	424.7	831.4	7287.4	2864.0
66	2201.7	1443.7	2493.6	673.3	1248.5	1938.1	1504.1	475.3	887.5	7459.0	3135.1
67	2225.1	1441.5	2528.6	673.3	1260.0	1952.4	1519.8	504.3	892.9	7353.1	3180.0
68	2209.2	1413.2	2505.2	630.1	1248.0	1920.8	1504.6	500.7	881.5	7204.9	3132.8
69	2164.1	1372.3	2445.9	622.7	1214.3	1863.7	1473.3	480.6	856.1	7005.1	3058.2
70	2080.8	1295.9	2328.3	634.2	1153.7	1764.9	1414.7	448.9	822.9	6754.6	2919.3
71	1959.4	1194.5	2180.3	623.0	1073.4	1645.5	1333.7	403.4	759.2	6423.4	2711.9
72	1837.2	1110.0	2090.9	611.3	1017.3	1538.4	1254.4	372.0	697.7	6011.9	2474.6
73	1756.7	1051.3	2024.4	605.2	969.2	1482.6	1156.6	340.5	648.1	5654.8	2285.7
74	1712.3	1022.1	1977.0	600.1	941.6	1460.1	1119.6	326.8	616.4	5417.5	2170.0
75	1698.0	1008.6	1940.4	597.5	927.9	1445.1	1097.3	319.0	598.2	5245.9	2103.2
76	1693.0	1009.7	1913.9	598.2	935.6	1449.3	1095.7	311.6	592.1	5179.1	2092.0
77	1716.8	1035.4	1938.7	605.1	959.1	1477.3	1101.0	315.9	598.7	5230.9	2119.2
78	1796.3	1104.9	2082.9	620.5	1006.2	1550.8	1150.5	333.5	630.5	5479.4	2198.5
79	1945.3	1228.4	2286.1	646.6	1099.4	1693.7	1225.4	365.6	687.3	5860.2	2319.4
80	2061.7	1319.6	2384.8	659.1	1170.0	1771.6	1297.1	398.0	749.6	6290.5	2440.4
81	2079.2	1326.5	2379.2	656.6	1191.1	1783.2	1355.0	417.9	783.6	6667.9	2550.8
82	2107.0	1346.0	2408.9	621.9	1208.5	1799.7	1403.5	444.5	813.2	6977.3	2695.4
83	2130.1	1360.7	2438.5	621.3	1234.8	1824.3	1447.9	459.1	833.9	7156.2	2797.6
84	2128.3	1364.6	2441.4	620.3	1239.7	1841.2	1474.3	463.4	836.1	7261.9	2854.2
85	2119.5	1357.9	2422.7	620.0	1215.0	1831.1	1476.4	456.1	845.2	7276.6	2894.9
86	2120.4	1355.7	2420.1	614.0	1200.5	1820.8	1476.9	454.4	827.5	7258.1	2897.9
87	2101.8	1351.7	2402.1	611.4	1185.7	1799.9	1461.7	456.6	817.5	7201.6	2884.6
88	2086.4	1348.3	2398.8	622.0	1199.0	1799.5	1447.7	437.6	816.3	7163.5	2886.9
89	2126.4	1385.3	2442.4	626.4	1260.5	1867.7	1477.3	449.2	832.1	7240.3	3014.1
90	2253.0	1473.3	2576.2	661.1	1336.3	1962.0	1577.6	482.7	890.9	7416.7	3227.4
91	2276.5	1479.0	2592.3	681.7	1342.0	1961.3	1579.1	479.9	888.6	7340.8	3225.0
92	2258.5	1456.0	2556.8	678.9	1316.4	1927.1	1546.4	463.0	869.1	7204.5	3126.3
93	2215.6	1421.5	2468.5	668.6	1283.8	1857.7	1475.1	457.4	841.8	7015.6	3016.5
94	2145.5	1355.1	2366.0	657.0	1225.2	1757.4	1409.4	432.4	814.4	6777.6	2861.2
95	2062.1	1266.3	2248.7	637.3	1135.6	1643.6	1316.1	402.2	760.1	6473.6	2675.2
96	1936.7	1189.2	2181.1	631.0	1067.9	1552.0	1238.4	371.8	707.9	6120.7	2477.4
97	1867.3	1148.0	2118.8	632.7	1040.5	1512.4	1186.5	342.5	645.8	5810.2	2340.1
98	1825.3	1119.2	2085.7	633.6	1021.7	1486.8	1157.1	338.0	622.4	5621.1	2265.0
99	1803.1	1111.8	2076.4	633.0	1018.8	1485.3	1149.5	337.7	611.1	5509.6	2231.8
100	1796.6	1114.7	2086.9	632.4	1019.0	1493.4	1158.3	338.6	610.0	5476.5	2224.2
101	1830.1	1138.7	2133.4	639.8	1043.5	1522.3	1175.6	349.9	619.3	5533.0	2271.8
102	1899.8	1195.7	2238.4	658.9	1108.1	1594.8	1230.8	371.8	655.9	5772.3	2378.8
103	2012.5	1282.8	2369.3	679.9	1193.0	1714.4	1318.2	406.4	724.7	6205.3	2550.8
104	2109.0	1350.2	2441.2	689.8	1246.3	1814.8	1388.9	429.1	778.4	6652.0	2689.1
105	2158.0	1385.4	2499.0	695.8	1287.4	1859.4	1438.3	437.6	806.5	6994.8	2787.2
106	2195.7	1424.6	2541.7	702.0	1305.8	1861.3	1454.1	440.8	821.6	7275.3	2864.2
107	2221.2	1450.0	2580.2	704.6	1316.4	1860.7	1464.1	440.9	831.8	7427.6	2887.4
108	2222.4	1454.5	2579.6	709.2	1319.3	1854.2	1458.3	441.9	843.9	7502.3	2906.2
109	2209.2	1455.8	2604.8	709.4	1309.4	1846.9	1448.0	438.7	837.7	7517.7	2912.9
110	2199.1	1442.9	2584.9	711.9	1309.6	1836.7	1441.5	438.4	835.7	7501.9	2922.3
111	2181.6	1432.9	2582.8	711.7	1306.9	1829.3	1440.1	439.7	833.0	7484.7	2947.4
112	2168.7	1424.2	2577.1	712.7	1301.8	1839.4	1463.5	445.2	845.8	7517.9	3003.5
113	2198.8	1447.5	2634.1	724.4	1341.1	1912.0	1521.4	475.4	879.3	7641.1	3168.2
114	2312.7	1533.2	2765.7	735.0	1397.5	2012.4	1637.5	506.0	933.4	7822.0	3425.1
115	2324.0	1519.4	2747.4	729.0	1410.9	2006.2	1636.1	521.8	933.3	7742.7	3441.3
116	2294.9	1483.9	2692.9	726.2	1389.9	1975.1	1615.9	520.5	925.3	7619.5	3371.0
117	2248.4	1439.2	2619.9	715.9	1351.6	1930.9	1586.3	503.1	897.1	7450.4	3304.6
118	2181.1	1368.8	2511.3	707.9	1294.5	1851.9	1527.3	486.5	866.4	7230.7	3179.6
119	2085.2	1289.5	2394.6	689.5	1232.2	1758.6	1449.7	460.5	820.6	6949.8	2998.5
120	1978.2	1214.3	2283.4	678.3	1161.0	1665.9	1363.9	430.2	766.4	6601.6	2797.6
121	1899.9	1158.5	2209.2	672.0	1104.1	1605.3	1307.9	408.2	719.2	6252.3	2634.8
122	1842.0	1126.5	2170.1	668.2	1080.4	1565.1	1270.4	393.5	695.9	6010.2	2523.4
123	1815.9	1115.7	2127.9	664.6	1067.2	1543.1	1248.6	387.9	675.8	5850.2	2459.4
124	1800.9	1110.7	2136.6	665.8	1066.2	1537.5	1241.1	386.8	665.8	5753.1	2436.7
125	1808.3	1115.9	2145.4	667.1	1071.2	1551.2	1246.7	387.9	664.3	5728.3	2440.2
126	1837.7	1140.7	2179.8	676.6	1086.9	1579.6	1269.1	400.8	679.9	5788.2	2477.7
127	1906.1	1180.0	2257.3	687.2	1133.0	1639.8	1306.4	415.1	704.4	5968.7	2566.6
128	1980.2	1235.5	2338.3	697.6	1176.0	1696.4	1349.0	430.5	737.4	6178.7	2663.4
129	2031.3	1281.3	2420.1	709.5	1229.9	1759.7	1402.2	446.4	764.5	6435.3	2769.9
130	2066.9	1320.6	2467.8	721.1	1258.5	1806.8	1437.1	456.0	789.0	6679.2	2853.7
131	2086.6	1348.5	2505.0	718.1	1277.2	1828.1	1446.2	460.4	811.5	6871.5	2872.5
132	2082.2	1352.7	2507.1	731.0	1275.3	1826.1	1443.8	462.3	822.4	6994.3	2880.9
133	2053.9	1336.2	2482.3	726.2	1264.4	1810.4	1435.8	442.5	817.2	7032.1	2866.5
134	2047.5	1324.4	2421.5	721.3	1246.9	1800.8	1414.3	451.1	812.3	7036.4	2853.9
135	2027.4	1317.1	2399.3	716.1	1249.1	1799.4	1406.5	452.4	810.1	7031.9	2882.2
136	2020.2	1326.7	2436.1	717.2	1254.4	1820.2	1440.3	447.3	821.5	7055.1	2939.6
137	2077.4	1378.1	2521.4	726.3	1286.8	1900.5	1517.2	469.7	854.6	7186.2	3103.2
138	2213.7	1468.7	2664.8	728.1	1372.9	2007.6	1620.8	511.8	908.0	7446.5	3359.1
139	2228.2	1457.6	2651.8	709.3	1342.8	1985.8	1628.6	515.2	914.4	7485.6	3383.7
140	2207.8	1422.9	2600.7	725.8	1331.7	1947.2	1602.9	505.1	900.2	7408.0	3324.4
141	2184.6	1388.9	2543.4	721.4	1291.5	1912.8	1575.1	499.6	881.6	7286.5	3254.9
142	2127.5	1328.3	2454.7	707.2	1249.5	1855.0	1530.9	476.7	857.6	7125.0	3145.4
143	2028.6	1251.6	2333.7	691.7	1184.3	1775.7	1456.8	453.7	814.6	6906.0	2985.3
144	1919.5	1175.3	2221.2	679.7	1117.0	1689.9	1381.9	428.2	767.7	6631.9	2803.8
145	1836.5	1124.4	2157.0	675.4	1081.0	1632.1	1314.2	416.2	722.3	6325.6	2648.5
146	1785.0	1091.9	2108.8	647.1	1061.5	1602.5	1274.4	399.2	701.6	6092.0	2522.2
147	1767.3	1075.1	2089.4	632.0	1054.2	1583.1	1255.9	393.5	675.6	5919.6	2459.4
148	1756.3	1066.6	2085.3	629.6	1045.2	1581.1	1249.6	392.4	663.3	5819.3	2427.2
149	1755.9	1068.2	2083.0	626.6	1035.0	1586.4	1257.6	397.3	661.4	5777.0	2424.4
150	1779.8	1089.2	2124.0	635.0	1050.9	1603.0	1274.5	407.0	671.4	5806.3	2448.0
151	1833.6	1130.5	2188.2	645.7	1090.1	1655.6	1311.6	421.2	691.3	5924.5	2514.8
152	1873.3	1173.2	2263.2	654.9	1147.6	1715.7	1387.6	433.9	715.5	6092.5	2572.4
153	1913.6	1203.2	2331.7	661.9	1212.0	1759.9	1414.6	456.2	744.4	6315.0	2660.6
154	1954.6	1230.9	2378.0	666.4	1229.6	1818.1	1450.7	466.1	759.1	6538.8	2721.6
155	1954.2	1243.6	2373.6	664.9	1241.3	1828.1	1456.7	462.0	778.4	6734.7	2738.3
156	1974.1	1261.9	2371.8	695.3	1243.2	1813.2	1444.3	453.3	785.7	6844.4	2732.3
157	1955.7	1264.3	2349.8	658.0	1251.7	1801.0	1428.6	442.1	776.9	6879.3	2712.2
158	1954.5	1255.5	2307.1	670.4	1218.7	1789.5	1415.0	432.9	773.1	6872.9	2707.0
159	1956.4	1271.4	2305.3	644.7	1206.9	1782.8	1366.1	434.0	773.5	6856.2	2720.8
160	1940.3	1280.7	2316.7	673.6	1209.7	1808.2	1353.3	446.7	785.6	6886.4	2784.9
161	2002.5	1343.3	2415.4	663.8	1283.0	1900.0	1543.0	471.0	833.6	7073.8	2996.8
162	2125.1	1422.7	2546.4	696.6	1337.8	2011.1	1645.2	510.6	891.0	7316.8	3253.8
163	2131.8	1405.0	2528.1	699.2	1340.5	1989.1	1590.4	513.5	885.7	7356.8	3259.6
164	2093.7	1362.5	2468.7	675.7	1328.0	1940.6	1539.3	506.6	865.8	7272.6	3190.3
165	2038.8	1313.0	2382.0	676.5	1296.2	1877.6	1503.1	490.6	848.8	7145.1	3104.2
166	1967.0	1243.9	2266.1	659.4	1220.2	1777.3	1435.6	462.0	822.6	6936.8	2950.4
167	1844.1	1141.9	2123.5	637.5	1130.1	1673.3	1385.3	420.6	764.7	6601.6	2739.3
168	1737.5	1068.3	1991.1	623.9	1082.2	1582.5	1259.2	382.4	708.6	6216.5	2533.1
169	1674.3	1019.4	1909.3	615.3	1054.0	1522.6	1212.0	360.5	665.8	5896.8	2381.1
170	1641.4	989.9	1855.0	611.9	1025.1	1484.6	1158.9	352.9	642.0	5718.7	2301.5
171	1619.8	984.2	1825.8	605.7	1023.4	1465.4	1137.6	347.3	626.7	5568.8	2245.3
172	1612.6	984.2	1822.0	602.7	1017.5	1467.0	1130.2	346.7	617.2	5526.2	2221.3
173	1635.0	1004.9	1872.2	605.5	1024.0	1486.7	1141.9	353.0	624.6	5567.4	2250.0
174	1710.1	1087.7	2011.7	619.3	1082.1	1563.9	1203.1	379.0	661.9	5810.6	2367.3
175	1861.4	1209.0	2230.5	641.3	1192.2	1705.4	1302.1	413.9	743.1	6260.7	2594.4
176	1980.3	1268.6	2318.8	652.8	1246.2	1783.6	1365.7	432.7	808.3	6737.3	2723.2
177	1996.1	1296.6	2308.8	648.6	1232.8	1777.1	1374.0	426.1	811.3	6993.6	2721.2
178	2021.3	1334.7	2337.5	645.0	1238.4	1774.8	1366.9	428.2	825.4	7214.2	2715.3
179	2036.9	1377.3	2343.1	642.9	1244.5	1784.6	1386.9	427.5	831.7	7331.3	2729.5
180	2040.4	1387.2	2325.5	636.4	1233.0	1779.4	1396.1	419.5	829.2	7376.7	2716.4
181	2034.6	1388.1	2309.7	635.5	1214.4	1777.1	1380.1	423.5	828.2	7382.6	2737.4
182	2038.2	1382.4	2267.2	630.1	1213.0	1786.4	1338.4	421.6	820.4	7377.6	2750.8
183	2030.7	1371.8	2240.8	627.1	1200.8	1786.0	1359.9	413.1	817.3	7320.3	2736.6
184	2012.8	1370.6	2230.5	635.5	1194.9	1795.9	1396.7	422.3	819.4	7342.6	2780.4
185	2051.6	1409.6	2252.6	645.3	1230.2	1865.5	1448.4	452.2	864.5	7455.5	2936.0
186	2140.0	1474.5	2356.5	655.5	1274.7	1951.9	1515.0	479.0	902.0	7575.8	3142.8
187	2129.3	1460.4	2351.3	653.4	1263.0	1942.1	1530.2	481.3	902.7	7416.1	3168.3
188	2096.1	1433.9	2309.8	641.6	1242.0	1894.9	1552.6	454.7	882.7	7274.1	3100.2
189	2047.7	1384.0	2215.9	634.6	1204.1	1827.1	1456.5	443.5	854.6	7068.5	3004.9
190	1973.8	1305.5	2098.5	595.1	1139.8	1721.6	1378.2	414.1	804.1	6810.8	2833.4
191	1853.3	1209.1	1952.6	574.2	1029.8	1601.0	1275.6	364.1	735.0	6385.9	2566.3
192	1725.7	1117.0	1834.8	577.0	951.7	1495.4	1187.3	327.8	661.3	5946.3	2343.0
193	1663.6	1066.3	1796.5	566.4	886.8	1424.9	1099.6	311.2	617.8	5553.5	2177.4
194	1616.0	1029.5	1751.4	561.6	856.3	1390.3	1079.0	304.2	597.8	5317.3	2082.0
195	1598.7	1017.6	1727.9	559.5	848.6	1370.4	1057.1	301.8	579.9	5174.2	2038.7
196	1600.2	1020.0	1737.1	558.2	843.8	1365.4	1058.2	303.6	574.3	5109.2	2025.4
197	1624.2	1042.3	1763.8	562.1	862.7	1379.0	1081.1	304.3	583.4	5147.2	2052.8
198	1697.1	1116.9	1871.2	577.4	928.3	1455.0	1124.5	333.0	620.2	5389.0	2164.3
199	1851.5	1249.5	2075.5	606.1	1048.1	1598.5	1218.6	377.2	694.9	5910.4	2401.1
200	1953.6	1331.4	2187.2	620.2	1114.5	1684.2	1292.4	390.8	759.0	6407.0	2528.4
201	1969.9	1337.6	2208.7	616.7	1109.7	1670.3	1299.4	381.3	760.4	6639.6	2534.5
202	1984.5	1351.4	2223.6	607.4	1120.7	1633.7	1292.8	368.4	758.5	6750.4	2493.5
203	2010.3	1364.1	2240.7	607.5	1126.7	1630.9	1302.2	354.7	754.6	6782.0	2444.7
204	2009.8	1362.2	2230.3	606.4	1128.4	1625.5	1299.8	349.6	744.4	6766.7	2399.7
205	2000.0	1361.8	2226.6	574.0	1114.3	1650.8	1266.3	353.6	730.9	6737.0	2371.9
206	1993.0	1369.4	2224.8	574.1	1111.4	1667.1	1260.9	343.3	729.0	6709.3	2358.6
207	1981.9	1357.4	2200.9	593.5	1110.9	1655.2	1261.3	344.3	724.5	6680.9	2386.1
208	1971.9	1355.5	2204.7	609.3	1110.8	1660.0	1273.8	349.8	733.3	6717.0	2461.7
209	2021.0	1403.6	2276.5	588.4	1149.0	1732.4	1328.1	375.5	763.2	6838.6	2638.8
210	2124.0	1471.6	2381.0	601.7	1204.1	1831.7	1427.0	409.0	822.5	7032.5	2900.1
211	2127.2	1455.5	2363.1	601.1	1216.8	1834.1	1433.3	420.3	834.8	6908.2	2951.0
212	2109.7	1426.3	2336.7	599.6	1190.3	1808.7	1415.6	411.4	824.6	6786.2	2903.9
213	2073.7	1388.9	2275.9	589.7	1156.1	1746.8	1379.1	400.8	799.0	6600.3	2825.1
214	1995.3	1316.3	2171.8	570.4	1101.8	1651.3	1300.6	381.4	757.3	6350.8	2669.0
215	1859.2	1217.3	2030.8	561.1	1020.2	1542.6	1221.2	342.4	699.9	6005.4	2453.1
216	1753.2	1131.7	1911.9	543.0	964.3	1447.4	1136.4	315.9	649.2	5600.1	2237.1
217	1694.6	1071.0	1825.2	540.3	931.3	1401.3	1072.1	290.6	599.2	5252.7	2102.7
218	1670.6	1033.2	1784.5	539.9	906.8	1374.1	1046.5	284.0	576.1	5049.2	2032.9
219	1668.2	1020.0	1764.7	543.3	901.6	1367.1	1041.7	287.8	569.3	4930.3	1995.3
220	1663.3	1026.1	1754.6	540.0	909.9	1378.8	1045.1	289.1	568.7	4885.5	1992.5
221	1671.2	1055.7	1774.2	549.6	930.2	1416.1	1068.8	295.2	576.7	4936.0	2038.2
222	1745.8	1134.5	1926.5	605.1	987.9	1504.1	1129.9	324.0	615.3	5195.6	2171.7
223	1893.0	1270.4	2110.3	633.4	1103.8	1664.6	1255.0	360.3	697.9	5728.7	2426.6
224	1989.1	1342.7	2197.6	645.0	1148.7	1746.5	1319.7	386.1	765.5	6247.9	2575.5
225	1997.0	1334.8	2183.5	624.0	1144.7	1727.1	1322.5	382.2	768.4	6514.5	2559.3
226	1988.1	1329.2	2156.6	603.5	1124.7	1675.2	1297.7	368.0	767.3	6657.7	2498.2
227	1951.6	1302.2	2103.9	635.0	1085.4	1635.3	1275.5	348.2	760.3	6694.5	2443.7
228	1922.2	1277.3	2055.6	590.8	1059.1	1599.6	1251.1	331.8	741.4	6704.8	2405.8
229	1885.2	1255.2	2018.9	581.0	1028.9	1580.2	1222.0	328.9	733.0	6677.6	2350.3
230	1891.6	1250.9	1993.6	599.0	1000.7	1580.0	1205.0	326.7	728.7	6656.7	2349.6
231	1900.0	1253.9	1983.7	592.9	1010.1	1582.4	1211.4	327.7	729.6	6636.4	2374.0
232	1909.0	1279.0	2015.8	565.8	1044.2	1612.7	1240.2	339.0	744.8	6675.6	2448.5
233	1945.6	1317.2	2096.1	580.2	1090.6	1700.0	1314.3	364.1	785.2	6839.0	2635.5
234	2033.1	1400.0	2251.7	625.2	1173.7	1821.6	1409.7	403.9	833.2	7008.1	2891.2
235	2023.3	1393.8	2250.4	620.2	1194.7	1821.7	1416.1	414.4	839.2	6885.2	2922.7
236	1992.3	1361.9	2220.5	591.4	1163.1	1782.8	1395.0	400.7	820.9	6722.3	2870.7
237	1945.6	1311.1	2160.5	577.7	1129.1	1724.6	1354.2	399.9	804.7	6482.2	2780.5
238	1873.7	1242.7	2054.1	560.2	1073.4	1623.3	1288.1	373.7	750.4	6217.6	2618.7
239	1755.6	1145.2	1892.8	573.2	987.7	1508.3	1209.2	332.8	684.2	5861.9	2388.7
240	1642.0	1058.7	1775.4	558.2	918.5	1402.9	1126.3	296.5	624.3	5444.4	2155.5
241	1581.0	1012.8	1698.1	554.3	864.6	1330.2	1057.2	279.0	590.1	5073.1	2003.3
242	1546.1	981.1	1663.7	546.4	829.0	1284.4	1028.1	269.0	561.6	4872.7	1913.1
243	1522.8	962.5	1632.5	539.9	829.2	1249.3	1013.6	260.6	554.1	4720.1	1865.6
244	1516.9	962.8	1626.9	537.6	828.5	1250.1	1001.1	255.4	556.1	4651.1	1849.3
245	1542.1	985.4	1667.3	540.4	834.1	1269.5	1013.1	259.2	549.0	4699.2	1873.6
246	1622.5	1056.6	1782.7	554.4	888.5	1336.8	1056.1	277.6	585.6	4941.9	1986.0
247	1776.3	1185.8	1981.8	581.9	1008.0	1492.6	1160.2	315.1	653.3	5474.6	2213.7
248	1877.1	1264.9	2080.3	567.7	1083.6	1561.8	1219.9	332.1	726.6	5983.3	2349.4
249	1877.2	1259.4	2068.3	586.9	1079.7	1546.2	1240.0	326.2	732.2	6264.2	2368.0
250	1899.4	1259.3	2048.6	578.6	1081.8	1517.7	1239.2	332.6	738.8	6457.8	2396.0
251	1913.2	1255.5	2038.7	566.0	1068.1	1510.7	1230.4	332.8	755.2	6520.1	2424.9
252	1905.3	1251.8	2007.1	556.9	1055.8	1488.4	1227.3	325.4	754.0	6529.8	2397.4
253	1874.1	1240.6	1978.1	567.5	1025.0	1453.2	1224.8	310.0	742.2	6504.6	2364.6
254	1868.8	1228.9	1974.9	535.5	1009.0	1442.0	1192.8	321.4	723.4	6504.9	2352.2
255	1849.7	1208.7	1952.1	532.9	1002.5	1440.3	1174.4	313.0	723.9	6462.1	2368.8
256	1847.9	1206.1	1936.8	533.6	1024.3	1452.4	1185.9	309.1	731.8	6459.8	2412.5
257	1891.4	1242.4	1984.3	539.3	1062.7	1528.4	1241.2	327.2	750.4	6589.3	2535.3
258	1984.6	1315.8	2103.7	550.2	1127.0	1625.6	1343.1	366.8	795.5	6739.4	2744.8
259	1981.4	1308.9	2105.9	547.2	1123.3	1617.2	1351.4	371.2	805.3	6597.2	2769.1
